Filename: 24, Validation Accuracy: 0.6836363673210144, Binary: ['000111111100001000100010111100101111110001111101100010010100111110101111100111101000000100110001011000010001001100100001111001010010001111001001100110001101110010010000111010010100111001010010011100000111000']
Filename: 41, Validation Accuracy: 0.6836363673210144, Binary: ['001011101001000010111000100100110011111101010011000101111011110001010000101010101000000100110001011000010001001100100001111001010010001111001001100110001101110010010000111010010100111001010010011100000111000']
Filename: 106, Validation Accuracy: 0.6836363673210144, Binary: ['010100100100101001101110100110000010111000101110000110100010111110101010010110101100010110100100000111010001011110110010011110110111000000000000110010000001110101000111101001101011110101000000100010010110001']
Filename: 144, Validation Accuracy: 0.6836363673210144, Binary: ['000010011111100010010101011110101100010110001111100111100001100001001100110110101100010110100100000111010001011110110010011110110111000000000000110010000001110101000111101001101011110101000000100010010110001']
Filename: 168, Validation Accuracy: 0.6836363673210144, Binary: ['100111111011111100010110101110010110010001101110011001111110010101100110000010000111001001100111101100110010011001000000001001101110100111011010111010111001000010010100011110011101100101111101101000110000000']
Filename: 179, Validation Accuracy: 0.6836363673210144, Binary: ['000010000000101011011000001110111100101011101101001101110000111000100100010001011100000100001111100100000111010001101010001001110000010111110011001000010010010110111101100011001100111100001100011101110001111']
Filename: 190, Validation Accuracy: 0.6836363673210144, Binary: ['001100010101111000000110011011001010000101101010000000100111111110000101101010001110101010100010111011001101011111100001101001100111101010011110100111110011011001110100000111101011101101100000001101101110011']
Filename: 201, Validation Accuracy: 0.6836363673210144, Binary: ['001111100001011000010011100001110000111001001000001100111100111001101111111010111100110010100001010011110011101100101011000111010011011010001011001010000101011101100101011011000110000011000111110100001001011']
Filename: 16, Validation Accuracy: 0.6800000071525574, Binary: ['001010101101111100101111100110100100011000010000001110111011110100110011101011000101011111110110111001110110000101010110011011100000010101011010000011011010010010110101101101110100000001001001001101110100111']
Filename: 31, Validation Accuracy: 0.6800000071525574, Binary: ['110101001100011111001111001100111111110111101011100100100111010110000011100011010010111010011100110001110110000101010110011011100000010101011010000011011010011100111111000101000000011001001010110000000110001']
Filename: 44, Validation Accuracy: 0.6800000071525574, Binary: ['001100110001110111110000111101110010111001010100100000000000101000010110101010001110001011101111001100100011011011110110100010010111010001010101010111101001010011101010010010011010010110100111100111110111101']
Filename: 80, Validation Accuracy: 0.6800000071525574, Binary: ['001011101001000010111000100100110011111101010011000101111011110001010000101010101100000001001110100001000000000001111111111000101111100110010011110011010010001110000010101001011101101101111001010010001001111']
Filename: 148, Validation Accuracy: 0.6800000071525574, Binary: ['001101010011110101001001111000000110111000100110010110111111011100111100111110100000011110110000010111001111101010101001001010001001011011001110111010100100010110001011000111101100010101011000111111011111001']
Filename: 243, Validation Accuracy: 0.6800000071525574, Binary: ['011100000011100111000001011011011010100001000110001010011100011100011010100001100001001000100111011000010000011011111001001001000000011110001011111011110011011010011101110001110111101110101011100001001010011']
Filename: 274, Validation Accuracy: 0.6800000071525574, Binary: ['000001001101100100110110101101101110101001000000000011000100000000101101101111111000111000110000100110110111111101010101011011010010001011100110100001100001000111000001110010011000010110110100010101110011111']
Filename: 18, Validation Accuracy: 0.6763636469841003, Binary: ['000100010100001100100000100001011111001000001011000000100011111110001011010101101101010011010100000100001000000000011111001111001101000101001100010101101111101011001001010101111110010001010000001110001101110']
Filename: 29, Validation Accuracy: 0.6763636469841003, Binary: ['001010101100101111111110110000110101011001110010110010111001010000110111100011100001011110110110111100010000000011011010000111011101111100011001111110111001010010111000100100011011010110000111011110011101010']
Filename: 159, Validation Accuracy: 0.6763636469841003, Binary: ['100110001110010010000011001100111100101000101010101111000000001010000011001110010110111110110110100011101010111011001011010000100110100100011101000110111011001010011101001001101110110011100011100110111110011']
