model,benchmark_value,TP,TN,FP,FN,AUC,training_set,val_set,loss,optimizer,lr,epochs,batch_size,balance,fft_len,fft_overlap,chunks,image_size,val_ratio,resampling,BENCHMARK_AUC,VAL_AUC_MAX,AUC_MAX,history_file,configfile
src.cnn.models.ga.2.model_32,104.0,171.0,0.0,104.0,0.0,0,/home/michnaa/michna_fnkv/data/dataset/ch1_res60x240_octaves_fft1250_overlap625_resampleNone_t_svdadult_v_svdadult_balanced_True/training,/home/michnaa/michna_fnkv/data/dataset/ch1_res60x240_octaves_fft1250_overlap625_resampleNone_t_svdadult_v_svdadult_balanced_True/validation,binary_focal_crossentropy,Adam,1e-05,527,127,True,1250,625,1,"(60, 240)",0.6218181818181818,None,0.5,0.5,0.5240084528923035,7ce6c2ce-b931-4e59-a22d-074c4573e4e3.json,config_32.yaml
src.cnn.models.ga.2.model_33,140.0,46.0,89.0,15.0,125.0,0,/home/michnaa/michna_fnkv/data/dataset/ch1_res60x240_octaves_fft1250_overlap625_resampleNone_t_svdadult_v_svdadult_balanced_True/training,/home/michnaa/michna_fnkv/data/dataset/ch1_res60x240_octaves_fft1250_overlap625_resampleNone_t_svdadult_v_svdadult_balanced_True/validation,binary_crossentropy,RMSprop,0.0001,76,12,True,1250,625,1,"(60, 240)",0.6218181818181818,None,0.5506072640419006,0.5590699315071106,0.5814566612243652,439948e1-4d07-4bb3-b404-613ab2bfdefa.json,config_33.yaml
src.cnn.models.ga.2.model_34,102.0,168.0,5.0,99.0,3.0,0,/home/michnaa/michna_fnkv/data/dataset/ch1_res60x240_octaves_fft1250_overlap625_resampleNone_t_svdadult_v_svdadult_balanced_True/training,/home/michnaa/michna_fnkv/data/dataset/ch1_res60x240_octaves_fft1250_overlap625_resampleNone_t_svdadult_v_svdadult_balanced_True/validation,binary_crossentropy,SGD,0.0001,54,22,True,1250,625,1,"(60, 240)",0.6218181818181818,None,0.5,0.5490047335624695,0.5256900787353516,dfac2175-c980-4925-95ca-e13ee830947c.json,config_34.yaml
src.cnn.models.ga.2.model_35,144.0,63.0,68.0,36.0,108.0,0,/home/michnaa/michna_fnkv/data/dataset/ch1_res60x240_octaves_fft1250_overlap625_resampleNone_t_svdadult_v_svdadult_balanced_True/training,/home/michnaa/michna_fnkv/data/dataset/ch1_res60x240_octaves_fft1250_overlap625_resampleNone_t_svdadult_v_svdadult_balanced_True/validation,binary_crossentropy,Adam,0.0001,70,34,True,1250,625,1,"(60, 240)",0.6218181818181818,None,0.5368308424949646,0.555274486541748,0.5820081830024719,8ee9fc79-b0d1-4a2c-b64a-af6a6bed1e58.json,config_35.yaml
src.cnn.models.ga.2.model_36,104.0,171.0,0.0,104.0,0.0,0,/home/michnaa/michna_fnkv/data/dataset/ch1_res60x240_octaves_fft1250_overlap625_resampleNone_t_svdadult_v_svdadult_balanced_True/training,/home/michnaa/michna_fnkv/data/dataset/ch1_res60x240_octaves_fft1250_overlap625_resampleNone_t_svdadult_v_svdadult_balanced_True/validation,binary_focal_crossentropy,Adagrad,0.0001,481,113,True,1250,625,1,"(60, 240)",0.6218181818181818,None,0.5,0.5902777314186096,0.553058922290802,ec1704d2-3cb6-41a2-adf2-0b5e1308067f.json,config_36.yaml
src.cnn.models.ga.2.model_37,82.0,130.0,63.0,41.0,41.0,0,/home/michnaa/michna_fnkv/data/dataset/ch1_res60x240_octaves_fft1250_overlap625_resampleNone_t_svdadult_v_svdadult_balanced_True/training,/home/michnaa/michna_fnkv/data/dataset/ch1_res60x240_octaves_fft1250_overlap625_resampleNone_t_svdadult_v_svdadult_balanced_True/validation,binary_focal_crossentropy,Adam,0.0001,455,12,True,1250,625,1,"(60, 240)",0.6218181818181818,None,0.7085863947868347,0.7345929741859436,0.9900883436203003,be230d4c-1cce-43aa-867b-66b3aba8427d.json,config_37.yaml
src.cnn.models.ga.2.model_38,93.0,147.0,35.0,69.0,24.0,0,/home/michnaa/michna_fnkv/data/dataset/ch1_res60x240_octaves_fft1250_overlap625_resampleNone_t_svdadult_v_svdadult_balanced_True/training,/home/michnaa/michna_fnkv/data/dataset/ch1_res60x240_octaves_fft1250_overlap625_resampleNone_t_svdadult_v_svdadult_balanced_True/validation,binary_focal_crossentropy,Adam,0.0001,332,26,True,1250,625,1,"(60, 240)",0.6218181818181818,None,0.6628430485725403,0.6930105686187744,0.9215106964111328,19a9ca9b-43e1-48d0-8898-b3949e31b307.json,config_38.yaml
src.cnn.models.ga.2.model_39,104.0,171.0,0.0,104.0,0.0,0,/home/michnaa/michna_fnkv/data/dataset/ch1_res60x240_octaves_fft1250_overlap625_resampleNone_t_svdadult_v_svdadult_balanced_True/training,/home/michnaa/michna_fnkv/data/dataset/ch1_res60x240_octaves_fft1250_overlap625_resampleNone_t_svdadult_v_svdadult_balanced_True/validation,binary_crossentropy,Adam,0.001,391,107,True,1250,625,1,"(60, 240)",0.6218181818181818,None,0.5984312295913696,0.7029914855957031,0.8651848435401917,9a96d258-3c2e-4b76-9e8a-6489e4e942b5.json,config_39.yaml
src.cnn.models.ga.2.model_40,85.0,139.0,51.0,53.0,32.0,0,/home/michnaa/michna_fnkv/data/dataset/ch1_res60x240_octaves_fft1250_overlap625_resampleNone_t_svdadult_v_svdadult_balanced_True/training,/home/michnaa/michna_fnkv/data/dataset/ch1_res60x240_octaves_fft1250_overlap625_resampleNone_t_svdadult_v_svdadult_balanced_True/validation,binary_focal_crossentropy,RMSprop,0.0001,202,37,True,1250,625,1,"(60, 240)",0.6218181818181818,None,0.7282669544219971,0.7395411729812622,0.8753406405448914,678954aa-27bd-482a-920e-ffdb1585598b.json,config_40.yaml
src.cnn.models.ga.3.model_1,82.0,159.0,34.0,70.0,12.0,0,/home/michnaa/michna_fnkv/data/dataset/ch1_res60x240_octaves_fft1250_overlap625_resampleNone_t_svdadult_v_svdadult_balanced_True/training,/home/michnaa/michna_fnkv/data/dataset/ch1_res60x240_octaves_fft1250_overlap625_resampleNone_t_svdadult_v_svdadult_balanced_True/validation,binary_focal_crossentropy,SGD,0.01,235,61,True,1250,625,1,"(60, 240)",0.6218181818181818,None,0.7214630842208862,0.7487066984176636,0.7992857694625854,2e6b97fc-7b5d-4ef5-8a46-427d5738fbb4.json,config_1.yaml
